Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-372790,"Signaling by GPCR",70,876,0.05604606525911708,0.9870126496513963,0.9870126496513963,152,392,0.026133333333333335,9606,Homo sapiens,"17200;68434;17201;17202;16196;17203;16796;30817;15344;19065;3561;2668;2700;53460;113;88528;34146;88522;15940;16995;2869;15670;16440;18344;71018;15355;30805;18386;18101;71012;28666;27732;68329;28661;32111;84634;87986;17814;89884;27708;15366;18397;28834;28875;2691;28716;371;42504;15729;15728;15727;32980;53486;86369;53487;88700;30768;16335;17306;17992;25858;7476;28364;27432;422;27551;15854;1606;17754","","R-HSA-391941;R-HSA-419334;R-HSA-114688;R-HSA-391943;R-HSA-3296304;R-HSA-391937;R-HSA-8937613;R-HSA-111879;R-HSA-426240;R-HSA-167429;R-HSA-3296309;R-HSA-418574;R-HSA-392206;R-HSA-167433;R-HSA-8981892;R-HSA-444171;R-HSA-392212;R-HSA-390673;R-HSA-420883;R-HSA-390674;R-HSA-8964241;R-HSA-444191;R-HSA-8964242;R-HSA-420123;R-HSA-8964246;R-HSA-374298;R-HSA-163617;R-HSA-8982703;R-HSA-8964271;R-HSA-163625;R-HSA-444202;R-HSA-391211;R-HSA-8964274;R-HSA-111930;R-HSA-444731;R-HSA-426043;R-HSA-392263;R-HSA-139854;R-HSA-111955;R-HSA-111956;R-HSA-8964317;R-HSA-373075;R-HSA-419166;R-HSA-373086;R-HSA-9624014;R-HSA-9603279;R-HSA-375384;R-HSA-418904;R-HSA-8964311;R-HSA-8964329;R-HSA-9667569;R-HSA-392295;R-HSA-444773;R-HSA-419426;R-HSA-8964333;R-HSA-392300;R-HSA-398188;R-HSA-418925;R-HSA-398184;R-HSA-398185;R-HSA-388981;R-HSA-114544;R-HSA-8964604;R-HSA-3296326;R-HSA-8982012;R-HSA-8964605;R-HSA-114548;R-HSA-398193;R-HSA-9667563;R-HSA-8964599;R-HSA-8982025;R-HSA-749448;R-HSA-8982026;R-HSA-9036301;R-HSA-749454;R-HSA-392064;R-HSA-749453;R-HSA-749452;R-HSA-750988;R-HSA-8982017;R-HSA-444047;R-HSA-8982019;R-HSA-8982018;R-HSA-8982021;R-HSA-8982020;R-HSA-749446;R-HSA-8964614;R-HSA-112271;R-HSA-420233;R-HSA-751001;R-HSA-8964634;R-HSA-420243;R-HSA-750993;R-HSA-9036307;R-HSA-749456;R-HSA-9036308;R-HSA-751019;R-HSA-379044;R-HSA-112037;R-HSA-139941;R-HSA-170666;R-HSA-5694462;R-HSA-381612;R-HSA-380073;R-HSA-379048;R-HSA-170671;R-HSA-9611839;R-HSA-751013;R-HSA-170674;R-HSA-9667619;R-HSA-170672;R-HSA-6805205;R-HSA-751039;R-HSA-170676;R-HSA-170677;R-HSA-751027;R-HSA-444606;R-HSA-751024;R-HSA-744887;R-HSA-170686;R-HSA-744886;R-HSA-751029;R-HSA-170685;R-HSA-392133;R-HSA-392129;R-HSA-391375;R-HSA-751040;R-HSA-9609310;R-HSA-169683;R-HSA-169680;R-HSA-8851797;R-HSA-9690439;R-HSA-9611851;R-HSA-3296233;R-HSA-398040;R-HSA-9611852;R-HSA-8982637;R-HSA-444654;R-HSA-201708;R-HSA-388596;R-HSA-167408;R-HSA-444661;R-HSA-388605;R-HSA-416510;R-HSA-8982641;R-HSA-8982640;R-HSA-167419;R-HSA-388863;R-HSA-8982645;R-HSA-390649;R-HSA-111870;R-HSA-418553"
R-HSA-6804756,"Regulation of TP53 Activity through Phosphorylation",4,95,0.006078055022392835,0.9872212909560869,0.9872212909560869,5,26,0.0017333333333333333,9606,Homo sapiens,"1547;33678;176131;91315","","R-HSA-3222128;R-HSA-6805126;R-HSA-6799332;R-HSA-6805122;R-HSA-6805470"
R-HSA-2990846,"SUMOylation",11,193,0.012348048624440179,0.987594272865164,0.987594272865164,16,141,0.0094,9606,Homo sapiens,"17981;17650;30763;16827;32365;32354;27584;1387;89613;17759;16973;2869;32635","","R-HSA-4615910;R-HSA-6804485;R-HSA-5228525;R-HSA-3000399;R-HSA-4341025;R-HSA-5228523;R-HSA-4551649;R-HSA-4615872;R-HSA-3927959;R-HSA-3000348;R-HSA-5228508;R-HSA-4615987;R-HSA-3000411;R-HSA-4570493;R-HSA-4551679;R-HSA-4655355"
R-HSA-9682385,"FLT3 signaling in disease",1,43,0.0027511196417146513,0.9876157282259347,0.9876157282259347,13,52,0.0034666666666666665,9606,Homo sapiens,"28320","","R-HSA-9698003;R-HSA-9698000;R-HSA-9698007;R-HSA-9703440;R-HSA-9698005;R-HSA-9698008;R-HSA-9698174;R-HSA-9698013;R-HSA-9698179;R-HSA-9703438;R-HSA-9703439;R-HSA-9698029;R-HSA-9703434"
R-HSA-3371511,"HSF1 activation",1,43,0.0027511196417146513,0.9876157282259347,0.9876157282259347,1,7,4.6666666666666666E-4,9606,Homo sapiens,"50613","","R-HSA-5324632"
R-HSA-69205,"G1/S-Specific Transcription",1,43,0.0027511196417146513,0.9876157282259347,0.9876157282259347,1,28,0.0018666666666666666,9606,Homo sapiens,"41941","","R-HSA-8961934"
R-HSA-69473,"G2/M DNA damage checkpoint",3,80,0.005118362124120281,0.9880014504257165,0.9880014504257165,2,12,8.0E-4,9606,Homo sapiens,"33678;176131;95120","","R-HSA-6799332;R-HSA-75016"
R-HSA-69618,"Mitotic Spindle Checkpoint",5,111,0.007101727447216891,0.988059875159633,0.988059875159633,5,7,4.6666666666666666E-4,9606,Homo sapiens,"17981;27389;33033;31835;86553","","R-HSA-141409;R-HSA-141431;R-HSA-141422;R-HSA-141439;R-HSA-141423"
R-HSA-9009391,"Extra-nuclear estrogen signaling",5,111,0.007101727447216891,0.988059875159633,0.988059875159633,13,39,0.0026,9606,Homo sapiens,"25858;17254;6801;88522;2869","","R-HSA-9021609;R-HSA-9624272;R-HSA-9633044;R-HSA-9021601;R-HSA-9021600;R-HSA-9625465;R-HSA-9634584;R-HSA-9632412;R-HSA-9021596;R-HSA-9021660;R-HSA-9625482;R-HSA-9625487;R-HSA-9027670"
R-HSA-9824272,"Somitogenesis",2,63,0.004030710172744722,0.988080664973031,0.988080664973031,6,19,0.0012666666666666666,9606,Homo sapiens,"33442;12387","","R-HSA-9825555;R-HSA-9824268;R-HSA-9824236;R-HSA-9824222;R-HSA-9825275;R-HSA-9824266"
